Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
EXTR,"Extreme Networks",6.72,0.33,+5.16%,6.75,6.42,1854300,05/03/19
EZPW,"Ezcorp Inc",10.88,0.05,+0.46%,10.99,10.8,384800,05/03/19
FARO,"Faro Tech Inc",55.15,0.15,+0.27%,56.01,53.04,151400,05/03/19
FBC,"Flagstar Bancorp",35.55,0.16,+0.45%,35.8,35.4,188400,05/03/19
FBP,"First Bancorp",11.55,0.18,+1.58%,11.57,11.44,777900,05/03/19
FCF,"First Commonwealth Financial Corp",13.87,0.35,+2.59%,13.9,13.53,251100,05/03/19
FCFS,"First Cash Fin Svcs",100.25,2.14,+2.18%,100.32,97.83,146700,05/03/19
FCN,"Fti Consulting",84.61,-0.15,-0.18%,85.65,83.58,188000,05/03/19
FCPT,"Four Corners Property Trust IN",28.78,0.22,+0.77%,28.81,28.41,274800,05/03/19
FELE,"Franklin Electric CO",49.39,1.2,+2.49%,49.52,48.49,111400,05/03/19
FF,"Futurefuel Corp",14.43,0.11,+0.77%,14.51,14.26,238200,05/03/19
FFBC,"First Finl Bncp [Oh]",25.78,0.62,+2.46%,25.89,25.23,339600,05/03/19
FIX,"Comfort Systems USA",52.32,-0.33,-0.63%,52.93,51.87,214700,05/03/19
FLOW,"SPX Flow Inc",42,3.7,+9.66%,42.01,38.89,741800,05/03/19
FMBI,"First Midwest Bncp",21.55,0.37,+1.75%,21.62,21.16,460800,05/03/19
FN,Fabrinet,62.01,1.58,+2.61%,62.31,60.8,336700,05/03/19
FNSR,"Finisar Corp",24.32,0.52,+2.18%,24.36,23.74,1589800,05/03/19
FOE,"Ferro Corp",17.14,0.83,+5.09%,17.15,16.47,911300,05/03/19
FORM,"Formfactor Inc",18.18,1.25,+7.38%,18.25,17,931900,05/03/19
